Well Name,Bit RPM (RPM),Bit Torque (kft_lb),Depth of Cut (in),Gamma (api),Mechanical Specific Energy (ksi),On Bottom ROP (ft_per_hr),Rotary RPM (RPM),Total Pump Output (gal_per_min),Weight on Bit (klbs)
Well 1,275,6,0.294,117.03819999999999,29.9,403.58,101.24,697.52,36.9
Well 1,275,6,0.293,116.4901,30.0,401.69,101.66,696.81,37.6
Well 1,276,6,0.297,122.076,30.0,406.92,101.68,696.87,37.2
Well 1,276,6,0.297,126.17929999999998,29.7,407.03,101.49,696.87,37.2
Well 1,276,6,0.292,124.18289999999999,30.5,400.59,101.15,697.52,37.0
Well 1,275,6,0.287,125.9008,30.4,393.44,101.54,696.87,36.1
Well 1,275,6,0.287,125.73440000000001,30.7,392.92,101.46,696.87,38.4
Well 1,275,6,0.283,116.481,30.9,388.27,101.24,697.52,36.8
Well 1,275,6,0.282,115.962,31.2,386.54,100.98,698.23,36.2
Well 1,275,6,0.284,112.7665,31.0,388.85,101.12,696.87,36.4
Well 1,275,6,0.283,112.43299999999999,31.0,387.7,101.01,698.23,36.5
Well 1,275,6,0.279,114.618,31.1,382.06,101.12,697.52,36.2
Well 1,275,6,0.383,113.27399999999999,31.2,377.58,100.42,701.02,38.8
Well 1,272,3,0.213,175.1798,18.5,287.18,98.83,694.89,29.6
Well 1,273,4,0.266,134.0991,20.1,362.43,102.13,689.44,33.0
Well 1,274,4,0.289,114.48329999999999,21.2,394.77,102.27,688.49,33.8
Well 1,279,5,0.289,110.7288,25.7,395.46,102.5,705.11,34.3
Well 1,279,6,0.279,112.36339999999998,28.8,387.46,102.72,703.81,34.5
Well 1,278,6,0.278,111.54849999999999,29.5,384.65,102.61,703.16,34.4
Well 1,278,6,0.278,111.73119999999999,29.5,385.28,102.41,703.16,35.0
Well 1,277,6,0.279,111.8124,29.7,385.56,102.22,701.8,35.0
Well 1,278,6,0.276,114.651,30.3,382.17,102.16,701.8,35.7
Well 1,278,6,0.275,113.91,30.5,379.7,102.44,702.45,35.6
Well 1,278,6,0.277,114.6,30.3,382.0,102.3,702.45,37.3
Well 1,278,6,0.273,117.2017,30.8,378.07,102.3,702.5,36.3
Well 1,278,6,0.267,118.32000000000001,30.6,369.75,102.41,703.16,35.7
Well 1,278,6,0.274,121.264,29.6,378.95,102.55,702.45,35.3
Well 1,278,6,0.277,118.6866,29.8,382.86,102.58,702.38,35.6
Well 1,278,6,0.276,118.3673,30.6,381.83,102.22,702.5,35.3
Well 1,278,6,0.279,119.6476,30.7,385.96,102.5,701.8,36.6
Well 1,278,6,0.289,119.505,30.0,398.35,102.66,702.5,36.6
Well 1,278,6,0.29,116.03769999999999,29.9,400.13,102.44,701.14,35.7
Well 1,278,6,0.288,115.60559999999998,30.1,398.64,102.78,701.85,35.5
Well 1,278,6,0.286,114.4688,30.2,394.72,102.52,701.14,35.8
